nr,url,verdict
1,https://auth-securedfileshare.vercel.app/,1
2,http://danaa-id.official-resmi.top/,1
3,https://keepo.io/sdsdeed/,1
4,http://geminilogunb.godaddysites.com/,1
5,https://loathsomeguy.github.io/instaphish/,1
6,https://bridge--ttrezzorr.webflow.io/,1
7,https://trezor-iost.webflow.io/,1
8,https://portal---app---ndax-io--cdn-h.webflow.io/,1
9,http://auth--m--ledger--sso.webflow.io/,1
10,http://trezorrio-auth.webflow.io/,1
11,https://auth-app---crypto-sso--web-ced-cdn.webflow.io/,1
12,http://hub-ledgr--support.webflow.io/,1
13,https://logon----app--ledgelive.webflow.io/,1
14,https://auths-sso-coinbasepros-cdn-cdn.webflow.io/,1
15,http://uyty678.weebly.com/,1
16,http://ledgrecom--starts.webflow.io/,1
17,http://metagalaxy.pages.dev/,1
18,http://dheo96.github.io/,1
19,http://sso-ndax--cdn---autth.webflow.io/,1
20,http://oreg-start-leadger.webflow.io/,1
21,http://terzzorstart--learn.webflow.io/,1
22,http://auth---m-start--trezor--in.webflow.io/,1
23,http://trzorio-start.webflow.io/,1
24,http://docs-en-us-trezor.webflow.io/,1
25,http://secur--suite-sso-trozor.webflow.io/,1
26,https://trezaerwallet.webflow.io/,1
27,http://servicio-suscripcion.web.app/,1
28,https://tyirezorwallet.webflow.io/,1
29,http://bafybeiez5olqzw5oq2hfi3dmo3nnz4y6iox6gz7774rud4o2sp6uh43pxe.ipfs.dweb.link/,1
30,https://hardware-trezor-cdn-help.webflow.io/,1
31,http://app-app-ndax--auth.webflow.io/,1
32,http://2gewf232.blogspot.com.au/,1
33,https://auth-app-trezwer.webflow.io/,1
34,http://support-trerzeoor.webflow.io/,1
35,http://layanana-dana.claim.my.id/,1
36,http://app--secure-sso--blockfi--cdn.webflow.io/,1
37,http://portal-sso-ndax-nav-c-cdn-auth.webflow.io/,1
38,http://modepro.pages.dev/,1
39,http://m-cx-start-ttrezor.webflow.io/,1
40,http://webapp-docs-trezor-desktop.webflow.io/,1
41,http://ledgger-leve-app-safe.webflow.io/,1
42,https://sakamantoes.github.io/facebook_clone-project.org/,1
43,http://doc-treazr-apps.webflow.io/,1
44,http://app-desktop--liveledger.webflow.io/,1
45,http://overview--trezor-start.webflow.io/,1
46,http://bafybeidjrlaxuqp6gyshoyyqmgkyx3nclqtuchu3wzrhou66pecyqvy7zi.ipfs.dweb.link/,1
47,http://start---ledger--com.webflow.io/,1
48,https://trezorewllet.webflow.io/,1
49,http://majdiwalton.com/,1
50,http://mmetamskflogi.webflow.io/,1
51,https://prodbtmailerhsdg.weebly.com/,1
52,http://help----content---ledger.webflow.io/,1
53,http://kucoiincpommloggin.webflow.io/,1
54,https://rakeshnalamari.github.io/Netflix-Clone,1
55,http://kiucoinlogixn.webflow.io/,1
56,https://trazor--login--help--desk.webflow.io/,1
57,https://pub-d8608ab2809441ca8bf5355b4fe14129.r2.dev/index.html,1
58,http://www.shorten.ee/@3ghf3/,1
59,https://attofficialvalidation.weebly.com/,1
60,https://pub-f3078c43a6c04ee2b01bc1a2cd5033d0.r2.dev/index.html,1
61,http://suport-metammaskk.webflow.io/,1
62,http://help--ledgreapp.webflow.io/,1
63,http://authe-ndax-login-can.webflow.io/,1
64,https://www.36fg.com/tp-Related/18104.html,1
65,https://nsmnsmnmsnmnsmmsnmnsmn.ubpages.com/snmsnsmsnmnsmnmsn/,1
66,http://ee-info-update.web.app/,1
67,http://55100006.cc/,1
68,https://securepostcontentgurus.vercel.app/3a36efff&cf6=5a&1eG=K9dHF3da4b=D400e,1
69,https://accountreviewsocialflair.vercel.app/3a36efff&cf6=5a&1eG=K9dHF3da4b=D400e,1
70,https://valliappan2125.github.io/Amazon-Clone-Using-HTML-CSS-and-JS/,1
71,https://including-the-revision-history-already.vercel.app/,1
72,http://panctisdae25.github.io/,1
73,https://ixi.me/@pagesupport1?case?id=/20318,1
74,https://soutavulludei-6199.vercel.app/ratixx.html/,1
75,http://fhantom-walle--sso.webflow.io/,1
76,http://start---auth-io-trezor.webflow.io/,1
77,http://shivamsinghmer.github.io/Netflix-Web/,1
78,http://geminilogin.godaddysites.com/,1
79,http://10yongge.adoubleice.workers.dev/,1
80,http://www.revues-ufhb-ci.org/css/NT/imsbiz/index.php?email=3mail@b.c,1
81,http://shaw-105033.weeblysite.com/,1
82,http://btterrrrolliver.weebly.com/,1
83,http://btwebmailservicecare.weebly.com/,1
84,http://ujjmxddsweolkijh.weebly.com/,1
85,https://form.jotform.com/250722218780051,1
86,http://www.coimbase.org/,1
87,http://info-trz-io.github.io/,1
88,http://uphuld-logini.github.io/,1
89,https://davies1thecrest.wixsite.com/my-site-1,1
90,https://qnbcepteislem.duckdns.org/,1
91,https://dajuanricodawson.com/,1
92,https://web3.pancake.run/home,1
93,https://contentviolationinfluencerignite.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,1
94,https://blackshadowh4ck3r.github.io/Facebook-login,1
95,https://pub-1baf824499cb4115b54f660c5c108fc0.r2.dev/index.html,1
96,https://pub-6f24cfe1e879454c89a746b9564dd7c2.r2.dev/index.html,1
97,http://sea.a9ud29f.eu.org/,1
98,https://pub-9fd4c3502a6945c199f88d18fec22cde.r2.dev/index.html,1
99,http://sugeps.top/,1
100,https://guidelinecomplaintbuzzxpert.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,1
101,https://appealviolationtrendvision.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e,1
102,https://guidelinecomplaintbuzzxpert.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e.html,1
103,https://appealviolationtrendvision.vercel.app/3ae&25&93cf6=5a&1eGK9d0xe13da4b=D400e.html,1
104,https://pub-327ab1a4ff9e467e939afa2ba8e7c50a.r2.dev/index.html?email=3mail@b.c,1
105,http://my-nudes-porn.github.io/me,1
106,http://f551008.cc/,1
107,http://bridge-m-ttrezor--sso.webflow.io/,1
108,http://start-help--ledgre--sso.webflow.io/,1
109,https://band-sponge-coast.glitch.me/,1
110,http://official-free-request-one-blue-verification-form.vercel.app/,1
111,http://motamsck-logiez.godaddysites.com/,1
112,https://consulta-pago2025.glitch.me/,1
113,http://paypalloginin-usa.blogspot.lu/,1
114,https://solicitar-credito-libre.glitch.me/,1
115,http://zykgma.top/,1
116,http://skyidskysigninfsndndn.webflow.io/,1
117,http://tokenp0ckat.click/,1
118,https://faecbook.vn/tim-nguoi-nay-gap-ngay-14-thang-3-nam-2025,1
119,http://verify-signinoutlexchangeadmin.com/,1
120,http://876hfggfgfg.blogspot.com.ar/,1
121,http://3grdff4.blogspot.it/,1
122,http://gemeenilog-us.godaddysites.com/,1
123,https://pub-3b2161932db04c4eaa01be3fb152244b.r2.dev/sweetjan.html?email=3mail@b.c,1
124,http://secure-blockfi--app-cdn.webflow.io/,1
125,http://m-instagram.duckdns.org/,1
126,http://kukenlogi.godaddysites.com/,1
127,http://loguien-mettamass.godaddysites.com/,1
128,http://en-starte-trezor.webflow.io/,1
129,https://trezrr-wallet.webflow.io/,1
130,http://auth-start-triizzor-cdx.webflow.io/,1
131,http://office-outlook-verify.com/,1
132,http://coinbase-pro-login91.godaddysites.com/,1
133,http://pagina.pro/helpfacebook61,1
134,https://allegro-accounting.com/,1
135,https://pretty-toys.surge.sh/8830hkc381gn.html,1
136,http://kucoin-leggn.godaddysites.com/,1
137,http://shaw-106324.weeblysite.com/,1
138,http://imtoken-bi.click/,1
139,https://pub-5f1c43f5cde042a58705be82ef00c958.r2.dev/index.html,1
140,https://pub-ec6927bca8f6423e8977cba73b934c0e.r2.dev/index.html,1
141,http://sam.carreli.eu.org/,1
142,http://clonewebsitesuresh.netlify.app/,1
143,http://netflixclone-lemon-delta.vercel.app/,1
144,https://trezoroistartgle.webflow.io/,1
145,http://gemiin-llgoin.godaddysites.com/,1
146,http://e551007.cc/,1
147,http://tokenpockdt.click/,1
148,https://telstra23.blogspot.com/,1
149,http://telstra23.blogspot.in/,1
150,http://uspservicesl.blogspot.com.br/,1
151,http://bafybeifstdfojqc5e57e34mxwtqagfymj4425f5olwhctjitkh5imcrkru.ipfs.dweb.link/,1
152,http://dfgytrew22.wixsite.com/webskyy,1
153,http://meta-maskloiign.godaddysites.com/,1
154,http://sso-blockfie-sure--auths.webflow.io/,1
155,http://www.5510009.top/,1
156,http://mr-gyf.com/kkk1102,1
157,http://gemenil00ggn.godaddysites.com/,1
158,http://gamepooler.cc/go/3394z2/03a4.php/3394z2,1
159,http://pub-00e4205e46aa472db0cfa7f30ff755dd.r2.dev/index.html,1
160,http://start-docs-trazor.github.io/,1
161,http://551002n.cc/,1
162,http://htttprackspacecomphpp.weebly.com/,1
163,http://sso----cdn-ndax-serv-auths.webflow.io/,1
164,https://bitvavo635.vip/,1
165,http://www.5510022.vip/,1
166,https://bafybeiggsyx5eleumviylyicl4hqo6noqhyhbsths4e4hf3mrszm4ghvji.ipfs.dweb.link/,1
167,https://westernunion.ubrd.us/,1
168,http://signin-auth-blockfi.webflow.io/,1
169,http://bafybeiaxdsggygbdnigtnqp45pxbdvbnowe2udra6ksrxokohy3ml25n6q.ipfs.dweb.link/,1
170,https://2gewf232.blogspot.com/,1
171,http://my-app-ndax-io.webflow.io/,1
172,https://1danaid.official-resmi.top/,1
173,https://pub-053f50d7c2534d4ba8e60219f5c91f45.r2.dev/index.html,1
174,https://pub-a3d3fc2664c9440a88e6fe93d30517c5.r2.dev/index.html,1
175,https://msgg-serves.surge.sh/,1
176,http://steamcommunity.wallpaperengineshome.com/,1
177,https://paint-alder-roof.glitch.me/,1
178,https://skidding-ong.surge.sh/,1
179,http://oj.imtokne.vip/,1
180,http://dana-page-aktivasi-saldo.github.io/,1
181,https://alive-gaudy-cup.glitch.me/,1
182,http://mlbknsah.is-a-geek.org/,1
183,https://bafkreighlvmuq3xkqcedprmhncbn4ljnclump3ja3skohpcbxljw3aw32e.ipfs.dweb.link/,1
184,http://e551000.cc/,1
185,https://mantanetwork.on-fleek.app/,1
186,https://davies1thecrest.m-pages.com/sYsHvE/yyshhs,1
187,http://vps.wanbeibei1993.workers.dev/,1
188,https://form.jotform.com/250719353042048,1
189,http://hokijhytttyyv.weebly.com/,1
190,http://confermaspedizione-mastercard.com/BNL,1
191,http://tao1.1716602779.workers.dev/,1
192,http://certifica-antiriciclaggio.com/CreditAgricole,1
193,https://ennjlasteverdesti.xyz/,1
194,http://start-leddger-cdn-m-auth.webflow.io/,1
195,http://leadger--com--sterrt.webflow.io/,1
196,http://moneyearn10111.blogspot.com/,1
197,http://learn-help-ledgar-hub.webflow.io/,1
198,http://leagirr--com-start.webflow.io/,1
199,http://help-live-lwegerr.webflow.io/,1
200,http://live-start-io-trezor.webflow.io/,1
201,http://support-coentent-ledger.webflow.io/,1
202,http://uath-trezor-io-start.webflow.io/,1
203,http://lieggercom-starts.webflow.io/,1
204,http://secure-node.pages.dev/,1
205,https://www.fndedtrdplus.com/,1
206,http://publics--ledgerlive-cdn-s.webflow.io/,1
207,http://talktalkmailadmin.weebly.com/,1
208,http://alixx88.cc/,1
209,http://secure-eng-blockefi-cdn.webflow.io/,1
210,http://startt-ledgr-auth.webflow.io/,1
211,http://pdf-online.on-fleek.app/,1
212,http://vamsirednam.github.io/Netflix/,1
213,http://bafkreiewlcprq4lxz6rcjbltiakzueaoe4lhkxxkgoupktaubg7a4zwzmm.ipfs.dweb.link/,1
214,http://hello-world-restless-fog-8be3.pobw4427.workers.dev/,1
215,https://alonakes.top/bp/cab85s58.php,1
216,http://cf-3.nxnrllbe.eu.org/,1
217,http://m.hzaq.net/,1
218,http://cfcf1.kj5zfi8e.eu.org/,1
219,http://web--ndaxx-login.webflow.io/,1
220,http://telstraiima.weebly.com/,1
221,http://worker-v2ray-proxy.tanghuizll.workers.dev/,1
222,http://shaw-103527.weeblysite.com/,1
223,http://pub-7b7459ddbf5441d78735b36b92441ab8.r2.dev/index.html,1
224,http://secure--blockfi--cdn-so---x-auth.webflow.io/,1
225,https://portal-app-ndax-io-cdn--n.webflow.io/,1
